Node       Visible Definition                Description                   
S035B59    Y       Parm112/G(total)          G(tau- --> h- h- h+ 2pi0 nu_tau #text{(ex.#p{K0})})/G(total)
S035B58    Y       Parm113/G(total)          G(tau- --> h- omega pi0 nu_tau)/G(total)
S035C90    Y       Parm323/G(total)          G(tau- --> 3pi- 2pi+ pi0 nu_tau #text{(ex.#p{K0})})/G(total)
S035R19    Y       Parm24/G(total)           G(tau- --> pi- pi0 #text{non-#p{rho}(770)} nu_tau)/G(total)
S035C67    Y       Parm303/G(total)          G(tau- --> K- K+ K- nu_tau #text{(ex. #p{phi})})/G(total)
S035B51    Y       Parm141/G(total)          G(tau- --> pi- K0 Kbar0 nu_tau)/G(total)
S035B50    N       Parm133/G(total)          G(tau- --> K^*(892)- #text{#tex{\hbox\bgroup}#def{>=}0(#p{h0}#def{not=}#p{K0S})#tex{\egroup}} nu_tau)/G(total)
S035B53    Y       Parm143/G(total)          G(tau- --> h- h- h+ pi0 nu_tau #text{(ex.#p{K0})})/G(total)
S035B52    Y       Parm142/G(total)          G(tau- --> pi- Kbar0 #text{#tex{\allowbreak\hbox\bgroup}(non-#p{K^*(892)-})} nu_tau#text{#tex{\egroup}})/G(total)
S035B55    Y       Parm201/G(total)          G(tau- --> pi- 2pi0 nu_tau  #text{(ex.#p{K0})})/G(total)
S035B54    Y       Parm202/G(total)          G(tau- --> h- h- h+ pi0 nu_tau #text{(ex. #p{K0}, #p{omega})})/G(total)
S035B57    Y       Parm204/G(total)          G(tau- --> h- h- h+ 3pi0 nu_tau)/G(total)
S035B56    Y       Parm203/G(total)          G(tau- --> pi- 3pi0 nu_tau #text{#tex{\hbox\bgroup }(ex.#p{K0})#tex{\egroup}})/G(total)
S035C02    Y       Parm300/G(total)          G(tau- --> h- #text{#def{>=}} 3pi0 nu_tau #text{(ex. #p{K0})})/G(total)
S035R79    Y       Parm69/G(total)           G(tau- --> eta eta pi- nu_tau)/G(total)
S035R78    Y       Parm68/G(total)           G(tau- --> eta pi- pi0 pi0 nu_tau)/G(total)
S035R77    Y       Parm67/G(total)           G(tau- --> e- eta)/G(total)   
S035R76    Y       Parm56/G(total)           G(tau- --> mu+ e- e-)/G(total)
S035R75    Y       Parm55/G(total)           G(tau- --> e+ mu- mu-)/G(total)
S035R74    Y       Parm54/G(total)           G(tau- --> mu- K^*(892)0)/G(total)
S035R73    Y       Parm53/G(total)           G(tau- --> e- K^*(892)0)/G(total)
S035R72    Y       Parm52/G(total)           G(tau- --> mu+ pi- K-)/G(total)
S035R71    Y       Parm51/G(total)           G(tau- --> mu- pi+ K-)/G(total)
S035R70    Y       Parm50/G(total)           G(tau- --> e+ pi- K-)/G(total)
S035B9     N       Parm100/G(total)          G(tau- --> lepton+- pi-+ pi-)/G(total)
S035B8     N       Parm99/G(total)*Parm7     G(tau- --> a_0(980)- #text{#def{>=}0 neutrals } nu_tau)/G(total)*B(a_0(980) --> K0 K-)
S035C88    Y       Parm321/G(total)          G(tau- --> 3pi- 2pi+ nu_tau #text{(ex.#p{K0}, #p{omega})})/G(total)
S035B1     N       Parm94/Parm25             G(tau- --> #text{(}a_1(1260) h#text{)#charge{-}} nu_tau)/G(tau- --> h- h- h+ pi0 nu_tau)
S035B0     Y       Parm93/Parm25             G(tau- --> h- rho- h+ nu_tau)/G(tau- --> h- h- h+ pi0 nu_tau)
S035B3     N       Parm95/Parm25             G(tau- --> h- #text{(}rho pi#text{)#charge{0}} nu_tau)/G(tau- --> h- h- h+ pi0 nu_tau)
S035B2     N       (Parm92+Parm93)/Parm25    (G(tau- --> h- rho+ h- nu_tau)+G(tau- --> h- rho- h+ nu_tau))/G(tau- --> h- h- h+ pi0 nu_tau)
S035B5     N       Parm96/G(total)           G(tau- --> K- K0 #text{#def{>=}0 neutrals } nu_tau)/G(total)
S035B4     N       (Parm91+Parm92+Parm93+Parm8)/Parm25 (G(tau- --> h- rho pi0 nu_tau)+G(tau- --> h- rho+ h- nu_tau)+G(tau- --> h- rho- h+ nu_tau)+G(tau- --> h- omega nu_tau))/G(tau- --> h- h- h+ pi0 nu_tau)
S035B7     Y       Parm98/G(total)           G(tau- --> Kbar^*(892)0 pi- #text{#def{>=}0 neutrals } nu_tau)/G(total)
S035B6     Y       Parm97/G(total)           G(tau- --> K^*(892)0 K- #text{#def{>=}0 neutrals } nu_tau)/G(total)
S035B47    Y       Parm131/G(total)          G(tau- --> e- Kbar^*(892)0)/G(total)
S035B44    Y       Parm128/G(total)          G(tau- --> 3h- 2h+ 2pi0 nu_tau)/G(total)
S035B45    Y       Parm129/G(total)          G(tau- --> #text{(}5pi#text{)#charge{-}} nu_tau)/G(total)
S035B42    Y       (Parm126+Parm125)/G(total) (G(tau- --> K_1(1400)- nu_tau)+G(tau- --> K_1(1270)- nu_tau))/G(total)
S035B43    Y       Parm127/G(total)          G(tau- --> K0S #text{(particles)#charge{-}} nu_tau)/G(total)
S035B40    Y       Parm125/G(total)          G(tau- --> K_1(1270)- nu_tau)/G(total)
S035B41    Y       Parm126/G(total)          G(tau- --> K_1(1400)- nu_tau)/G(total)
S035S2     N       Parm2/Parm191             G(tau- --> e- nubar_e nu_tau)/G(tau- --> #text{#tex{\hbox\bgroup }particle#charge{-}#def{>=}0 neutrals #def{>=}0#p{K0L}} nu_tau#text{#tex{\egroup}})
S035C24    Y       Parm263/G(total)          G(tau- --> pi- pi+ pi- pi0 nu_tau  #text{(ex.#p{K0},#p{omega})})/G(total)
S035C27    Y       Parm266/G(total)          G(tau- --> eta K- pi0 nu_tau)/G(total)
S035S1     N       Parm1/Parm191             G(tau- --> mu- nubar_mu nu_tau)/G(tau- --> #text{#tex{\hbox\bgroup }particle#charge{-}#def{>=}0 neutrals #def{>=}0#p{K0L}} nu_tau#text{#tex{\egroup}})
S035C21    Y       Parm260/G(total)          G(tau- --> K- pi+ pi- nu_tau #text{(ex.#p{K0})})/G(total)
S035C20    Y       Parm259/G(total)          G(tau- --> pi- pi+ pi- nu_tau #text{(ex.#p{K0},#p{omega})})/G(total)
S035B48    Y       Parm132/G(total)          G(tau- --> mu- Kbar^*(892)0)/G(total)
S035B49    Y       Parm21/Parm16             G(tau- --> K^*(892)- nu_tau)/G(tau- --> pi- pi0 nu_tau)
S035R08    Y       Parm344/G(total)          G(tau- --> a_1(1260) nu_tau --> pi- gamma nu_tau)/G(total)
S035R02    Y       Parm337/G(total)          G(tau- --> f_1(1285) pi- nu_tau --> pi- K0S K0S pi0 nu_tau)/G(total)
S035C58    Y       Parm292/G(total)          G(tau- --> e- eta^'(958))/G(total)
S035C86    Y       Parm319/G(total)          G(tau- --> 2pi- pi+ 3pi0 nu_tau #text{ (ex.#p{K0}, #p{eta}, #p{f_1(1285)}) })/G(total)
S035R01    Y       Parm336/G(total)          G(tau- --> K^*()- K0 pi0 nu_tau --> pi- K0S K0S pi0 nu_tau)/G(total)
S035R06    Y       Parm342/G(total)          G(tau- --> pi- K0L K0L nu_tau)/G(total)
S035D01    Y       Parm333/G(total)          G(tau- --> K- K0S K0S pi0 nu_tau)/G(total)
S035D02    Y       Parm334/G(total)          G(tau- --> p mu- mu-)/G(total)
S035B90    Y       Parm231/G(total)          G(tau- --> eta a_1(1260)- nu_tau --> eta pi- rho0 nu_tau)/G(total)
S035C80    Y       Parm7/Parm12              G(tau- --> K- nu_tau)/G(tau- --> pi- nu_tau)
S035R68    Y       Parm48/G(total)           G(tau- --> mu+ pi- pi-)/G(total)
S035R69    Y       Parm49/G(total)           G(tau- --> e- pi+ K-)/G(total)
S035C98    Y       Parm331/G(total)          G(tau- --> K+ 3pi- pi+ pi0 nu_tau)/G(total)
